date, Time, Sec since start, Connected, Data changed, GyroSensor.temperature, GyroSensor.x, GyroSensor.y, GyroSensor.z
2013-12-22, 17:39:47.67, 2148.66, 1, 1, -1.329414368, 1.097561002, 0.3048778772, -2.195122004
2013-12-22, 17:39:47.267, 2148.86, 1, 1, -1.141178131, 1.189024448, 0.3658535182, -1.79878056
2013-12-22, 17:39:47.471, 2149.07, 1, 1, -1.235294342, 1.097561002, 0.3353657126, -1.768292665
2013-12-22, 17:39:47.671, 2149.27, 1, 1, -1.141178131, 0.7926829457, 0.3658535182, -1.73780489
2013-12-22, 17:39:47.871, 2149.47, 1, 1, -1.141178131, 0.9756097794, 0.4573169053, -1.981707335
2013-12-22, 17:39:48.79, 2149.68, 1, 1, -1.141178131, 1.036585331, 0.3658534884, -1.981707335
2013-12-22, 17:39:48.271, 2149.87, 1, 1, -1.047058105, 1.189024448, 0.3658534884, -1.920731783
2013-12-22, 17:39:48.471, 2150.07, 1, 1, -1.047058105, 1.036585331, 0.4573169351, -1.707317114
2013-12-22, 17:39:48.671, 2150.27, 1, 1, -1.047058105, 1.006097555, 0.3048778772, -1.890244007
2013-12-22, 17:39:48.871, 2150.47, 1, 1, -0.9529418945, 1.036585331, 0.3353657126, -1.79878056
2013-12-22, 17:39:49.71, 2150.67, 1, 1, -0.9529418945, 0.8841463327, 0.3658535182, -1.829268336
2013-12-22, 17:39:49.271, 2150.87, 1, 1, -0.9529418945, 1.097561002, 0.4573169351, -1.79878056
2013-12-22, 17:39:49.471, 2151.07, 1, 1, -0.8588256836, 1.158536673, 0.4878047407, -1.73780489
2013-12-22, 17:39:49.671, 2151.27, 1, 1, -0.8588256836, 1.189024448, 0.4878047407, -1.79878056
2013-12-22, 17:39:49.871, 2151.47, 1, 1, -0.8588256836, 1.067073226, 0.3353657126, -1.676829338
2013-12-22, 17:39:50.71, 2151.67, 1, 1, -0.764705658, 1.25, 0.3963412941, -1.920731783
2013-12-22, 17:39:50.271, 2151.87, 1, 1, -0.764705658, 0.9756097794, 0.3048778772, -2.164634228
2013-12-22, 17:39:50.471, 2152.07, 1, 1, -0.670589447, 1.280487776, 0.3963413239, -1.79878056
2013-12-22, 17:39:50.671, 2152.27, 1, 1, -0.670589447, 1.189024448, 0.4878047407, -1.829268336
2013-12-22, 17:39:50.871, 2152.47, 1, 1, -0.5764694214, 0.8841463327, 0.3658534884, -2.134146452
2013-12-22, 17:39:51.75, 2152.67, 1, 1, -0.5764694214, 1.097561002, 0.4573169351, -1.768292665
2013-12-22, 17:39:51.271, 2152.87, 1, 1, -0.5764694214, 1.067073226, 0.4878047109, -1.981707335
2013-12-22, 17:39:51.471, 2153.07, 1, 1, -0.5764694214, 1.189024448, 0.3353657126, -1.768292665
2013-12-22, 17:39:51.671, 2153.27, 1, 1, -0.5764694214, 0.9451220036, 0.3963412941, -2.01219511
2013-12-22, 17:39:51.871, 2153.47, 1, 1, -0.5764694214, 1.158536673, 0.2743900716, -2.01219511
2013-12-22, 17:39:52.79, 2153.68, 1, 1, -0.4823532104, 1.25, 0.3353657126, -1.768292665
2013-12-22, 17:39:52.271, 2153.87, 1, 1, -0.4823532104, 1.067073226, 0.5792681575, -1.920731783
2013-12-22, 17:39:52.471, 2154.07, 1, 1, -0.3882369995, 1.067073226, 0.3963413239, -1.829268336
2013-12-22, 17:39:52.671, 2154.27, 1, 1, -0.4823532104, 1.006097555, 0.3353656828, -1.890244007
2013-12-22, 17:39:52.871, 2154.47, 1, 1, -0.2941169739, 1.219512224, 0.5182924867, -1.890244007
2013-12-22, 17:39:53.71, 2154.67, 1, 1, -0.3882369995, 0.9756097794, 0.4878047407, -1.859756112
2013-12-22, 17:39:53.271, 2154.87, 1, 1, -0.2000007629, 0.9756097794, 0.3658535182, -1.859756112
2013-12-22, 17:39:53.471, 2155.07, 1, 1, -0.2000007629, 0.9756097794, 0.3963412941, -1.981707335
2013-12-22, 17:39:53.671, 2155.27, 1, 1, -0.2941169739, 1.097561002, 0.4878047109, -1.890244007
2013-12-22, 17:39:53.871, 2155.47, 1, 1, -0.2000007629, 0.9451220036, 0.3963413239, -1.859756112
2013-12-22, 17:39:54.71, 2155.67, 1, 1, -0.2000007629, 1.189024448, 0.5487803221, -1.890244007
2013-12-22, 17:39:54.271, 2155.87, 1, 1, -0.105884552, 1.158536673, 0.4573169053, -2.01219511
2013-12-22, 17:39:54.471, 2156.07, 1, 1, -0.105884552, 1.067073226, 0.4268291295, -1.859756112
2013-12-22, 17:39:54.671, 2156.27, 1, 1, -0.105884552, 1.036585331, 0.3658534884, -1.890244007
