date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
2013-12-08, 19:23:59.533, 43.299, 1, 1, -139.5966187, 103.0130081, 8824560, 7940080, -7.059999943
2013-12-08, 19:24:00.533, 44.302, 1, 1, -138.856781, 103.0040054, 8823024, 7943280, -6.929999828
2013-12-08, 19:24:00.533, 44.299, 1, 1, -138.856781, 103.0040054, 8823024, 7943280, -6.929999828
2013-12-08, 19:24:01.533, 45.302, 1, 1, -138.856781, 103.0040054, 8822000, 7946096, -6.819999695
2013-12-08, 19:24:01.533, 45.299, 1, 1, -138.856781, 103.0040054, 8822000, 7946096, -6.819999695
2013-12-08, 19:24:02.533, 46.302, 1, 1, -138.9360504, 103.0050049, 8820976, 7949040, -6.699999809
2013-12-08, 19:24:02.533, 46.299, 1, 1, -138.9360504, 103.0050049, 8820976, 7949040, -6.699999809
2013-12-08, 19:24:03.533, 47.302, 1, 1, -138.2807617, 102.9970016, 8819440, 7952240, -6.569999695
2013-12-08, 19:24:03.533, 47.299, 1, 1, -138.2807617, 102.9970016, 8819440, 7952240, -6.569999695
2013-12-08, 19:24:04.533, 48.302, 1, 1, -138.1169434, 102.9950027, 8818288, 7955184, -6.449999809
2013-12-08, 19:24:04.533, 48.299, 1, 1, -138.1169434, 102.9950027, 8818288, 7955184, -6.449999809
2013-12-08, 19:24:05.537, 49.306, 1, 1, -137.625473, 102.989006, 8817008, 7958128, -6.329999924
2013-12-08, 19:24:05.538, 49.304, 1, 1, -137.625473, 102.989006, 8817008, 7958128, -6.329999924
2013-12-08, 19:24:06.537, 50.306, 1, 1, -137.2978363, 102.9850082, 8815856, 7960816, -6.21999979
2013-12-08, 19:24:06.538, 50.304, 1, 1, -137.2978363, 102.9850082, 8815856, 7960816, -6.21999979
2013-12-08, 19:24:07.537, 51.306, 1, 1, -137.049469, 102.9820023, 8814576, 7964016, -6.089999676
2013-12-08, 19:24:07.537, 51.303, 1, 1, -137.049469, 102.9820023, 8814576, 7964016, -6.089999676
2013-12-08, 19:24:08.537, 52.306, 1, 1, -136.4734497, 102.9750061, 8813296, 7966704, -5.980000019
2013-12-08, 19:24:08.537, 52.303, 1, 1, -136.4734497, 102.9750061, 8813296, 7966704, -5.980000019
2013-12-08, 19:24:09.537, 53.306, 1, 1, -136.0612488, 102.9700012, 8812016, 7969648, -5.859999657
2013-12-08, 19:24:09.538, 53.304, 1, 1, -136.0612488, 102.9700012, 8812016, 7969648, -5.859999657
2013-12-08, 19:24:10.537, 54.306, 1, 1, -136.0612488, 102.9700012, 8810992, 7972464, -5.739999771
2013-12-08, 19:24:10.537, 54.303, 1, 1, -136.0612488, 102.9700012, 8810992, 7972464, -5.739999771
2013-12-08, 19:24:11.537, 55.306, 1, 1, -135.9819794, 102.9690018, 8809968, 7975152, -5.639999866
2013-12-08, 19:24:11.537, 55.303, 1, 1, -135.9819794, 102.9690018, 8809968, 7975152, -5.639999866
2013-12-08, 19:24:12.537, 56.306, 1, 1, -136.0612488, 102.9700012, 8808944, 7978096, -5.519999981
2013-12-08, 19:24:12.537, 56.303, 1, 1, -136.0612488, 102.9700012, 8808944, 7978096, -5.519999981
2013-12-08, 19:24:13.537, 57.306, 1, 1, -135.7336121, 102.9660034, 8807664, 7981168, -5.400000095
2013-12-08, 19:24:13.537, 57.303, 1, 1, -135.7336121, 102.9660034, 8807664, 7981168, -5.400000095
2013-12-08, 19:24:14.537, 58.306, 1, 1, -135.0783234, 102.9580078, 8806384, 7983856, -5.289999962
2013-12-08, 19:24:14.537, 58.303, 1, 1, -135.0783234, 102.9580078, 8806384, 7983856, -5.289999962
2013-12-08, 19:24:15.537, 59.306, 1, 1, -135.0783234, 102.9580078, 8805360, 7986672, -5.170000076
2013-12-08, 19:24:15.537, 59.303, 1, 1, -135.0783234, 102.9580078, 8805360, 7986672, -5.170000076
2013-12-08, 19:24:16.537, 60.306, 1, 1, -134.9092255, 102.9560013, 8804336, 7989232, -5.079999924
2013-12-08, 19:24:16.537, 60.303, 1, 1, -134.9092255, 102.9560013, 8804336, 7989232, -5.079999924
2013-12-08, 19:24:17.541, 61.31, 1, 1, -134.9092255, 102.9560013, 8803440, 7991792, -4.96999979
2013-12-08, 19:24:17.541, 61.307, 1, 1, -134.9092255, 102.9560013, 8803440, 7991792, -4.96999979
2013-12-08, 19:24:18.541, 62.31, 1, 1, -134.2539368, 102.9480057, 8802032, 7994736, -4.849999905
2013-12-08, 19:24:18.541, 62.307, 1, 1, -134.2539368, 102.9480057, 8802032, 7994736, -4.849999905
2013-12-08, 19:24:19.541, 63.31, 1, 1, -133.9263, 102.9440079, 8801008, 7997168, -4.759999752
2013-12-08, 19:24:19.541, 63.307, 1, 1, -133.9263, 102.9440079, 8801008, 7997168, -4.759999752
2013-12-08, 19:24:20.541, 64.31, 1, 1, -134.010849, 102.9450073, 8799984, 8000112, -4.639999866
2013-12-08, 19:24:20.541, 64.307, 1, 1, -134.010849, 102.9450073, 8799984, 8000112, -4.639999866
2013-12-08, 19:24:21.541, 65.31, 1, 1, -133.2710114, 102.9360046, 8798832, 8002288, -4.549999714
2013-12-08, 19:24:21.541, 65.307, 1, 1, -133.2710114, 102.9360046, 8798832, 8002288, -4.549999714
2013-12-08, 19:24:22.541, 66.31, 1, 1, -133.7624817, 102.9420013, 8798064, 8005104, -4.440000057
2013-12-08, 19:24:22.541, 66.307, 1, 1, -133.7624817, 102.9420013, 8798064, 8005104, -4.440000057
2013-12-08, 19:24:23.541, 67.31, 1, 1, -133.3502808, 102.9370041, 8796912, 8007664, -4.329999924
2013-12-08, 19:24:23.541, 67.307, 1, 1, -133.3502808, 102.9370041, 8796912, 8007664, -4.329999924
2013-12-08, 19:24:24.541, 68.31, 1, 1, -133.2710114, 102.9360046, 8795888, 8010352, -4.230000019
2013-12-08, 19:24:24.541, 68.307, 1, 1, -133.2710114, 102.9360046, 8795888, 8010352, -4.230000019
2013-12-08, 19:24:25.541, 69.31, 1, 1, -132.2828064, 102.9240036, 8794480, 8012912, -4.119999886
2013-12-08, 19:24:25.541, 69.307, 1, 1, -132.2828064, 102.9240036, 8794480, 8012912, -4.119999886
2013-12-08, 19:24:26.541, 70.31, 1, 1, -132.5258942, 102.927002, 8793584, 8015728, -4.009999752
2013-12-08, 19:24:26.541, 70.307, 1, 1, -132.5258942, 102.927002, 8793584, 8015728, -4.009999752
2013-12-08, 19:24:27.541, 71.31, 1, 1, -132.3620758, 102.9250031, 8792688, 8018032, -3.919999838
